CÓDIGO,Departamento,Jurisdicción,Cat.,Nro.,Nombre,T,CALLE,Nº,CALLE2,Nº2,CALLE3,Nº3,BARRIO / LOCALIDAD,TELEFONO,COMENTARIO,CH,CA,JA,EA,CTR,JTR,ETR,Unnamed: 23,Ed. Especial,0,Unnamed: 26,0.1,Unnamed: 28,Ed. Especial.1,0.2,Unnamed: 31,0.3,direccion_completa,Latitud,Longitud,EstrategiaLatLong,Intento
MONTEVIDEO - HABILITADO_018,MONTEVIDEO,CENTRO,HABILITADO,18,INMACULADO CORAZON DE MARIA,M,MERCEDES,1371,MERCEDES,1383,,,CORDON,2900 61 37,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MERCEDES 1371,-34.9035875359492,-56.18683073453857,,1.0
MONTEVIDEO - HABILITADO_019,MONTEVIDEO,CENTRO,HABILITADO,19,INSTITUTO CRANDON,M,JUAN RAMON GOMEZ,2712,,,,,LA BLANQUEADA,2487 33 75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,JUAN RAMON GOMEZ 2712,-34.88777843906807,-56.16153093517678,,1.0
MONTEVIDEO - HABILITADO_020,MONTEVIDEO,ESTE,HABILITADO,20,JESUS MARIA,M,EDMUNDO BIANCHI,2228,Gral. MÁXIMO TAJES,6604,AV. ITALIA,6604,CARRASCO NORTE,2600 15 00 / 2604 42 50,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,EDMUNDO BIANCHI 2228,-34.87599164258141,-56.061856457872665,,1.0
MONTEVIDEO - HABILITADO_021,MONTEVIDEO,CENTRO,HABILITADO,21,JOSE PEDRO VARELA,D,COLONIA,1645,,,,,CORDON,2409 70 20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,COLONIA 1645,-34.90279743363568,-56.18126874233826,,1.0
MONTEVIDEO - HABILITADO_022,MONTEVIDEO,CENTRO,HABILITADO,22,CEN. ED. PRIM. ADVENTISTA (C.E.P.A.),D,Ing. JOSE SERRATO,3632,Ing. JOSE SERRATO,3630,,,MERCADO MODELO,2215 94 56,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Ing. JOSE SERRATO 3632,-34.85499785882051,-56.15941160796703,,1.0
MONTEVIDEO - HABILITADO_023,MONTEVIDEO,OESTE,HABILITADO,23,MADRE PAULINA,D,CARMELO DE ARZADUM,6023,,,,,NUEVO PARIS,2309 70 77,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CARMELO DE ARZADUM 6023,-34.828346000001126,-56.24321699999996,,1.0
MONTEVIDEO - HABILITADO_024,MONTEVIDEO,CENTRO,HABILITADO,24,MARIA AUXILIADORA (I.M.A.),M,CANELONES,1701,,,,,CORDON,2418 46 82,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CANELONES 1701,-34.907682174106704,-56.177929219322074,,1.0
MONTEVIDEO - HABILITADO_025,MONTEVIDEO,ESTE,HABILITADO,25,SAINT DAVID'S SCHOOL,D,PEDRO BERRO,774,JUAN MARÍA PÉREZ,2740,,,POCITOS,2710 24 41 / 2712 02 37,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,PEDRO BERRO 774,-34.916809810988255,-56.153217890848005,,1.0
MONTEVIDEO - HABILITADO_026,MONTEVIDEO,OESTE,HABILITADO,26,Ntra. Sra. DE MONTSERRAT,D,ALASKA,748,,,,, TRES OMBUES,2308 78 10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ALASKA 748,-34.8566156882748,-56.24269247879043,,1.0
MONTEVIDEO - HABILITADO_027,MONTEVIDEO,OESTE,HABILITADO,27,MARIANO,T,Av. MILLAN,4181,,,,,P. DE LAS DURANAS,2309 85 12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. MILLAN 4181,-34.84857347139149,-56.1990192324097,,1.0
MONTEVIDEO - HABILITADO_028,MONTEVIDEO,CENTRO,HABILITADO,28,MISERICORDISTA,D,Av. SAN MARTIN,3820,,,,,CERRITO,2216 09 80,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. SAN MARTIN 3820,-34.85525510627988,-56.17340929092638,,1.0
MONTEVIDEO - HABILITADO_032,MONTEVIDEO,OESTE,HABILITADO,32,Sta. MARIA DE LA AYUDA,D,BOGOTA,3589,,,,,CERRO,2311 10 20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,BOGOTA 3589,-34.88730126668462,-56.25209561409568,,1.0
MONTEVIDEO - HABILITADO_034,MONTEVIDEO,CENTRO,HABILITADO,34,Ntra. Sra. DEL HUERTO,T,SAN JOSE,990,,,,,CENTRO,2900 47 88,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SAN JOSE 990,-34.90721788460705,-56.19495692525198,,1.0
MONTEVIDEO - HABILITADO_035,MONTEVIDEO,CENTRO,HABILITADO,35,Ntra. Sra. DEL LUJAN,D,Dr. WASHINGTON BELTRAN,1868,,,,,LA BLANQUEADA,2487 77 63,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Dr. WASHINGTON BELTRAN 1868,-34.89196592801493,-56.142959076264866,,1.0
MONTEVIDEO - HABILITADO_036,MONTEVIDEO,OESTE,HABILITADO,36,CEN. ED. LIBANO,M,MOLINOS DE RAFFO,926,,,,,SAYAGO,2359 32 20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MOLINOS DE RAFFO 926,-34.84000598031274,-56.20870401715262,,1.0
MONTEVIDEO - HABILITADO_037,MONTEVIDEO,ESTE,HABILITADO,37,Ntra. Sra. DE LOURDES,T,AMAZONAS,1636,,,,,MALVIN,2619 32 69,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,AMAZONAS 1636,-34.8914256500347,-56.10099436864933,,1.0
MONTEVIDEO - HABILITADO_039,MONTEVIDEO,ESTE,HABILITADO,39,HARWOOD SCHOOL,D,SIRACUSA,2380,,,,,CARRASCO,2601 93 60,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SIRACUSA 2380,-34.87522946995975,-56.08867997485743,,1.0
MONTEVIDEO - HABILITADO_041,MONTEVIDEO,OESTE,HABILITADO,41,Ntra. Sra. DEL PERPETUO SOCORRO,T,Av. SAYAGO,1090,,,,,SAYAGO,2359 43 52,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. SAYAGO 1090,-34.832751923621075,-56.21522902888776,,1.0
MONTEVIDEO - HABILITADO_043,MONTEVIDEO,CENTRO,HABILITADO,43,PALLOTTI,T,Av. Dr. LUIS A. de HERRERA,2882,,,,,LARRAÑAGA,2487 19 71,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. Dr. LUIS A. de HERRERA 2882,-34.87635588493483,-56.1573179654967,,1.0
MONTEVIDEO - HABILITADO_044,MONTEVIDEO,OESTE,HABILITADO,44,COLEGIO PIO IX,D,Av. LEZICA,6375,,,,,LEZICA,2322 80 77,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. LEZICA 6375,-34.79611631440545,-56.248476423550464,,1.0
MONTEVIDEO - HABILITADO_045,MONTEVIDEO,CENTRO,HABILITADO,45,REGINA MARTYRUM,M,Ing. JOSE SERRATO,3536,,,,,CERRITO ,2215 34 19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Ing. JOSE SERRATO 3536,-34.856288630838215,-56.15620317575599,,1.0
MONTEVIDEO - HABILITADO_046,MONTEVIDEO,ESTE,HABILITADO,46,SAGRADA FAMILIA,D,Av. ESTANISLAO LOPEZ,4568,Av. ITALIA,4472,,,MALVIN,2619 09 27,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. ESTANISLAO LOPEZ 4568,-34.88819976393195,-56.11050942701353,,1.0
MONTEVIDEO - HABILITADO_047,MONTEVIDEO,CENTRO,HABILITADO,47,SAGRADA FAMILIA,D,Av. LIBERTADOR J. A. LAVALLEJA,1960,,,,,AGUADA,2924 05 59,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. LIBERTADOR J. A. LAVALLEJA 1960,-34.89465446692829,-56.1886501687853,,1.0
MONTEVIDEO - HABILITADO_048,MONTEVIDEO,CENTRO,HABILITADO,48,SAGRADO CORAZON,T,Av. GARIBALDI,1682,Av. GARIBALDI,1693,,,REDUCTO,2209 17 31,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. GARIBALDI 1682,-34.875080534483445,-56.1827002999799,,1.0
MONTEVIDEO - HABILITADO_050,MONTEVIDEO,ESTE,HABILITADO,50,SAGRADO CORAZON DE JESUS,M,Cno. MALDONADO,6641,,,,,PUNTA DE RIELES,2514 22 22,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Cno. MALDONADO 6641,-34.82608783792823,-56.104873247315574,,1.0
MONTEVIDEO - HABILITADO_51-52,MONTEVIDEO,CENTRO,HABILITADO,51-52,SEMINARIO ,D,SORIANO,1472,SORIANO,1473,,,CORDON,2418 40 75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SORIANO 1472,-34.90727199208638,-56.183240576305174,,1.0
MONTEVIDEO - HABILITADO_054,MONTEVIDEO,OESTE,HABILITADO,54,INT. ARMENIO NUBARIAN,T,Av. AGRACIADA,2850,,,,,AGUADA,2208 06 28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. AGRACIADA 2850,-34.8780147887689,-56.19644758952947,,1.0
MONTEVIDEO - HABILITADO_056,MONTEVIDEO,OESTE,HABILITADO,56,SAN FRANCISCO DE ASIS,D,JOSE LLUPES,4551,,,,,NUEVO PARIS,2305 43 97,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,JOSE LLUPES 4551,-34.85145238225669,-56.22836872712846,,1.0
MONTEVIDEO - HABILITADO_057,MONTEVIDEO,OESTE,HABILITADO,57,SAN FRANCISCO DE SALES,D,Bv. ARTIGAS,4365,,,,,BELLA VISTA,2203 32 44,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Bv. ARTIGAS 4365,-34.87233012678293,-56.2008561110978,,1.0
MONTEVIDEO - HABILITADO_059,MONTEVIDEO,OESTE,HABILITADO,59,SAN JOSE,D,Av. E. GARZON,1867,,,,,COLON,2320 04 40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. E. GARZON 1867,-34.807769393110746,-56.22172028414394,,1.0
MONTEVIDEO - HABILITADO_060,MONTEVIDEO,OESTE,HABILITADO,60,SAN JOSE,T,CARLOS MARIA RAMIREZ,2090,,,,,CERRO NORTE,2311 16 72,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CARLOS MARIA RAMIREZ 2090,-34.875174983896784,-56.25970012866948,,1.0
MONTEVIDEO - HABILITADO_064,MONTEVIDEO,OESTE,HABILITADO,64,SAN JOSE LEOPOLDO GIANELLI,T,Cno. LA CAPILLA,3700,,,,,P. DE LA ARENA,2311 43 01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Cno. LA CAPILLA 3700,-34.77276981174266,-56.12837945804523,,1.0
MONTEVIDEO - HABILITADO_065,MONTEVIDEO,ESTE,HABILITADO,65,SAN JUAN BAUTISTA,T,LUIS B. CAVIA,2830,,,,,POCITOS,2708 33 41,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LUIS B. CAVIA 2830,-34.91082138695084,-56.15495473789262,,1.0
MONTEVIDEO - HABILITADO_067,MONTEVIDEO,OESTE,HABILITADO,67,SAN LUIS,T,Cno.  LECOCQ,1325,,,,,CONCILIACION,2320 03 97,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Cno.  LECOCQ 1325,-34.81519480337297,-56.23213895653155,,1.0
MONTEVIDEO - HABILITADO_068,MONTEVIDEO,CENTRO,HABILITADO,68,SAN MIGUEL,M,CONCEPCION ARENAL,1893,,,,,VILLA MUÑOZ,2200 53 18,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CONCEPCION ARENAL 1893,-34.88175212088973,-56.17893325113356,,1.0
MONTEVIDEO - HABILITADO_069,MONTEVIDEO,CENTRO,HABILITADO,69,BILINGÜE CIUDAD VIEJA,D,MACIEL,1371/3 - 1377,BUENOS AIRES,182,ALZAIBAR,1328,CIUDAD VIEJA,2915 52 80,DIRECCIÓN 2 es anexo maternal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MACIEL 1371/3 - 1377,-34.908994605056506,-56.21109326359511,,1.0
MONTEVIDEO - HABILITADO_070,MONTEVIDEO,OESTE,HABILITADO,70,Sta. CLARA,D,BOGOTA,3275,,,,,CERRO,2311 11 81,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,BOGOTA 3275,-34.892904728844165,-56.250938489332896,,1.0
MONTEVIDEO - HABILITADO_071,MONTEVIDEO,ESTE,HABILITADO,71,Sta. ELENA,D,Av. Gral. RIVERA,4212,Av. Gral. RIVERA,4331,,,BUCEO,2619 27 19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. Gral. RIVERA 4212,-34.89618336304301,-56.122057445457905,,1.0
MONTEVIDEO - HABILITADO_072,MONTEVIDEO,ESTE,HABILITADO,72,Sta. LUISA DE MARILLAC,T,LARRAVIDE,2406,,,,,UNION,2508 42 59,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LARRAVIDE 2406,-34.87534510565991,-56.13718053675905,,1.0
MONTEVIDEO - HABILITADO_073,MONTEVIDEO,CENTRO,HABILITADO,73,Sta. MARIA,T,8 DE OCTUBRE,2966,8 DE OCTUBRE,2980,8 DE OCTUBRE,2982,LA BLANQUEADA,2487 22 12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,8 DE OCTUBRE 2966,-34.88461215945922,-56.15601289251302,,1.0
MONTEVIDEO - HABILITADO_074,MONTEVIDEO,CENTRO,HABILITADO,74,Sta. TERESA DE JESUS,T,SORIANO,1570,,,,,CORDON,2418 41 57,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SORIANO 1570,-34.90715683134742,-56.18168410551828,,1.0
MONTEVIDEO - HABILITADO_075,MONTEVIDEO,CENTRO,HABILITADO,75,SANTO DOMINGO,M,Av. Gral. RIVERA,2257,,,,,CORDON,2400 73 58,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. Gral. RIVERA 2257,-34.90195559257747,-56.16614996956708,,1.0
MONTEVIDEO - HABILITADO_076,MONTEVIDEO,ESTE,HABILITADO,76,SANTO TOMAS DE AQUINO,T,8 DE OCTUBRE,4673,8 DE OCTUBRE,4675,,, MAROÑAS,2514 19 27,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,8 DE OCTUBRE 4673,-34.85883010941352,-56.13379047099555,,1.0
MONTEVIDEO - HABILITADO_077,MONTEVIDEO,ESTE,HABILITADO,77,ESCUELA INT. HEBREO URUGUAYA,D,JOSE BENITO LAMAS,2841,JOSE BENITO LAMAS,2835,JOSE BENITO LAMAS,2845,POCITOS,2708 17 12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,JOSE BENITO LAMAS 2841,-34.91256282931972,-56.155193153204124,,1.0
MONTEVIDEO - HABILITADO_078,MONTEVIDEO,ESTE,HABILITADO,78,JUAN ZORRILLA DE SAN MARTIN,T,JOSE ELLAURI,527,,,,,PUNTA CARRETAS,2711 91 38,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,JOSE ELLAURI 527,-34.92095914231549,-56.15738994401105,,1.0
MONTEVIDEO - HABILITADO_079,MONTEVIDEO,CENTRO,HABILITADO,79,MARIA INMACULADA,M,SAINT BOIS ,5048,,,,,ITUZAINGO,2514 61 08,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SAINT BOIS  5048,-34.841143464968596,-56.147676158730974,,1.0
MONTEVIDEO - HABILITADO_080,MONTEVIDEO,CENTRO,HABILITADO,80,Ntra. Sra. DE FATIMA,T,BRITO DEL PINO,1344,,,,,PARQUE BATLLE,2708 43 11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,BRITO DEL PINO 1344,-34.86702012029063,-56.21978784006591,,1.0
MONTEVIDEO - HABILITADO_084,MONTEVIDEO,ESTE,HABILITADO,84,LA MENNAIS,D,Ing. ACQUISTAPACE,1701,,,,,PUNTA GORDA,2600 56 20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Ing. ACQUISTAPACE 1701,-34.88934020897679,-56.08966194678325,,1.0
MONTEVIDEO - HABILITADO_085,MONTEVIDEO,CENTRO,HABILITADO,85,NOTRE DAME,D,Av. JOSE BELLONI,3350,,,,,J. DEL HIPODROMO,2514 09 33,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. JOSE BELLONI 3350,-34.84593783432484,-56.13483866957414,,1.0
MONTEVIDEO - HABILITADO_087,MONTEVIDEO,CENTRO,HABILITADO,87,DOMINGO SAVIO,M,GERMAN PICCIOLLI,3272,,,,,MAROÑAS,2514 00 58,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,GERMAN PICCIOLLI 3272,-34.853369618301194,-56.140989100611876,,1.0
MONTEVIDEO - HABILITADO_088,MONTEVIDEO,ESTE,HABILITADO,88,GABRIELA MISTRAL,T,AMSTERDAM,1483,AMSTERDAM,1471,,,MALVIN,2619 25 11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,AMSTERDAM 1483,-34.894451994215494,-56.11441828558335,,1.0
MONTEVIDEO - HABILITADO_089,MONTEVIDEO,ESTE,HABILITADO,89,Sta.  RITA,T,TORONTO,1597,,,,,CARRASCO,2600 46 10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,TORONTO 1597,-34.88982894447312,-56.079199026880765,,1.0
MONTEVIDEO - HABILITADO_090,MONTEVIDEO,ESTE,HABILITADO,90,COOP. EDUCATIVA DON ORIONE,M,Av. DE LAS INSTRUCCIONES,4142,,,,,MANGA,2222 33 11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. DE LAS INSTRUCCIONES 4142,-34.78389808992069,-56.138995610509795,,1.0
MONTEVIDEO - HABILITADO_092,MONTEVIDEO,OESTE,HABILITADO,92,SAN PABLO,T,VENANCIO BENAVIDEZ,3612,VENANCIO BENAVIDEZ,3616,Av. MILLAN,3615,PRADO,2336 49 14,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,VENANCIO BENAVIDEZ 3612,-34.86178684219238,-56.195163839353846,,1.0
MONTEVIDEO - HABILITADO_093,MONTEVIDEO,CENTRO,HABILITADO,93,FEDERICO OZANAM,D,CIRENE,3996,,,,,VILLA ESPAÑOLA,2508 80 64,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CIRENE 3996,-34.86691643782719,-56.14140424261594,,1.0
MONTEVIDEO - HABILITADO_095,MONTEVIDEO,ESTE,HABILITADO,95,JOHN F. KENNEDY,T,MISSOURI,1485,PILCOMAYO,5229,,,MALVIN,2619 12 97,DIRECCIÓN 2 es el Jardín,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MISSOURI 1485,-34.89416124850456,-56.096246209677666,,1.0
MONTEVIDEO - HABILITADO_096,MONTEVIDEO,ESTE,HABILITADO,96,RICHARD ANDERSON,D,JOSE ITURRIAGA,3535,JULIO CÉSAR,1092,,,BUCEO,2622 10 23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,JOSE ITURRIAGA 3535,-34.906306356919536,-56.13549161033655,,1.0
MONTEVIDEO - HABILITADO_098,MONTEVIDEO,CENTRO,HABILITADO,98,Sta. TERESITA DE LISIEUX,M,Cno. PEDRO DE MENDOZA,6025,,,,,PIDERAS BLANCAS,2222 32 14,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Cno. PEDRO DE MENDOZA 6025,-34.79319745286312,-56.165310408788535,,1.0
MONTEVIDEO - HABILITADO_099,MONTEVIDEO,CENTRO,HABILITADO,99,JOSE  ARTIGAS,D,Av. Dr. LUIS A. de HERRERA,3826,,,,,BRAZO ORIENTAL,2200 88 15,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. Dr. LUIS A. de HERRERA 3826,-34.863004893945266,-56.17837656808072,,1.0
MONTEVIDEO - HABILITADO_100,MONTEVIDEO,ESTE,HABILITADO,100,LATINOAMERICANO,T,ECHEVERRIA,530,ECHEVERRIA,532,ECHEVERRIA,542,PUNTA CARRETAS,2710 57 12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ECHEVERRIA 530,-34.91677293610803,-56.161515058487296,,1.0
MONTEVIDEO - HABILITADO_101,MONTEVIDEO,CENTRO,HABILITADO,101,STA. BERNARDITA,D,Dr. JOSE MARTIRENE,5147,,,,,CASAVALLE,2215 58 52,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Dr. JOSE MARTIRENE 5147,-34.83234700000113,-56.17399899999994,,1.0
MONTEVIDEO - HABILITADO_102,MONTEVIDEO,CENTRO,HABILITADO,102,OBRA BANNEUX,D,Bv. APARICIO SARAVIA,3732,,,,,CASAVALLE,2211 83 96,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Bv. APARICIO SARAVIA 3732,-34.834815146544855,-56.162150383439695,,1.0
MONTEVIDEO - HABILITADO_103,MONTEVIDEO,OESTE,HABILITADO,103,PEDRO POVEDA,T,GARCIA PEÑA,2962,,,,,ATAHUALPA,2200 15 22,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,GARCIA PEÑA 2962,-34.87044628937713,-56.18716943145153,,1.0
MONTEVIDEO - HABILITADO_104,MONTEVIDEO,CENTRO,HABILITADO,104,DIVINA PASTORA,D,YACUY,4271,,,,,PIEDRAS BLANCAS,2215 47 24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,YACUY 4271,-34.82618995401723,-56.14585513766945,,1.0
MONTEVIDEO - HABILITADO_105,MONTEVIDEO,CENTRO,HABILITADO,105,Esc. Primaria Logosófica 11 DE AGOSTO,D,Av. Dr. MANUEL ALBO,2727,,,,,LA BLANQUEADA,2480 25 70,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. Dr. MANUEL ALBO 2727,-34.89027273307422,-56.15991575295838,,1.0
MONTEVIDEO - HABILITADO_110,MONTEVIDEO,ESTE,HABILITADO,110,Instituto Hebreo Uruguayo YAVNE,D,LUIS B. CAVIA,2800,LUIS B. CAVIA,2880,LUIS B CAVIA,2788,POCITOS,2708 01 00 / 2708 78 69,DIRECCIÓN 3 es el Jardín,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LUIS B. CAVIA 2800,-34.910131911109744,-56.15499102980656,,1.0
